Restaurant_id,Name,Cuisine Style,Rating
R1,Dersett,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",5.0
R2,Sapori Solari,"['Italian', 'Delicatessen', 'Wine Bar', 'European', 'Gluten Free Options']",4.5
R3,Macelleria Equina Da Vito,"['Italian', 'Steakhouse', 'Mediterranean', 'Barbecue', 'Gluten Free Options']",4.5
R4,VUN Andrea Aprea,"['Italian', 'Mediterranean', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R5,Contraste,"['Mediterranean', 'Italian', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R6,Seta,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R7,Piadineria Artigianale Pascoli,"['Italian', 'Fast Food', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R8,Iyo,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Soups', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R9,Rizzocomeacasa Rizzo Come A Casa,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R10,Nerino Dieci Trattoria,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R11,L'Immagine Ristorante Bistrot,"['Steakhouse', 'Italian', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R12,Boccondivino,"['Italian', 'Mediterranean', 'Wine Bar']",4.5
R13,Da Vic - Ristorante Guerrini,"['Italian', 'Seafood', 'Mediterranean', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R14,Mr Panozzo,"['Italian', 'Pizza', 'Fast Food', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.5
R15,Sapori Stellari,['Gluten Free Options'],5.0
R16,MooKuzai,"['Sushi', 'Japanese', 'Asian', 'Fusion']",4.5
R17,Piz,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R18,Bottega Sicula Milano,"['Mediterranean', 'Italian', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R19,G.B. Bar,"['Italian', 'Bar', 'Cafe', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",4.5
R20,Pizzium,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",4.5
R21,Ristorante Glauco,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Gluten Free Options']",4.5
R22,Pizza AM,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R23,Trippa,"['Italian', 'Gluten Free Options']",4.5
R24,Il Principe dei Navigli,"['Italian', 'Pizza', 'Seafood', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R25,De Santis,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",4.5
R26,Mi-Ramen Bistro Col di lana,"['Japanese', 'Asian', 'Fusion', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",4.5
R27,Ristorante Parentesi,"['Italian', 'Mediterranean', 'Contemporary']",4.5
R28,Savana Ristorante Eritreo,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",4.5
