Car_id,Car_make,Car_model,Car_dailyrate
C1,Infiniti,Q,$1347.03
C2,Chevrolet,Venture,$1051.38
C3,Mazda,Miata MX-5,$989.12
C4,Chrysler,300,$633.93
C5,Jeep,Cherokee,$905.99
C6,Mitsubishi,Mirage,$1193.06
C7,Lexus,ES,$1026.32
C8,Pontiac,Gemini,$1488.28
C9,Chrysler,Crossfire Roadster,$1468.21
C10,Volvo,960,$1025.68
C11,Mercury,Sable,$554.13
C12,Lexus,SC,$1029.06
C13,Honda,Odyssey,$1070.67
C14,Chevrolet,Corvair,$1167.25
C15,GMC,Suburban 1500,$814.19
C16,Pontiac,Aztek,$1198.73
C17,Nissan,Cube,$833.91
C18,Lincoln,Mark LT,$1427.73
C19,Nissan,Frontier,$1168.23
C20,Dodge,Charger,$774.55
C21,Ford,Fairlane,$984.54
C22,Lincoln,Continental,$1264.03
C23,Honda,Pilot,$1339.41
C24,Mercedes-Benz,R-Class,$658.15
C25,Lotus,Esprit,$700.00
C26,BMW,Z8,$501.73
C27,Cadillac,SRX,$1094.09
C28,Land Rover,Range Rover,$655.79
C29,Mitsubishi,Eclipse,$1339.00
C30,Isuzu,VehiCROSS,$1011.85
